,Value
216,0.4369101288306607
217,0.2960443521387133
218,0.5239054441134648
219,0.4394003602070354
220,0.10387699452481476
221,0.18656454042390075
222,0.06992081046865616
223,0.21930199246624166
224,0.2811168840826646
225,0.1246232904047822
226,0.34114677614340577
227,0.297960647292976
228,0.14071629152319737
229,0.5365537143931595
230,0.6397908449824907
231,0.20031987706537646
232,0.16109697922777375
233,0.12664205544255214
234,0.05263157894736842
235,0.14060227814518483
236,0.3529690005225844
237,0.26356575104398444
238,0.5355644369447671
239,0.29162701706797
240,0.328675835668126
241,0.2496221869596659
242,0.047607560733606336
243,0.3344144230400776
244,0.2988361878926873
245,0.4571301203266783
246,0.21999799114630036
247,0.1253355184388908
248,0.08978430591021053
249,0.3091080231572561
250,0.11960384779035822
251,0.19988474361288594
252,0.23726973473510835
253,0.1707039803985753
254,0.0
255,0.21149205106308372
256,0.20949838685224392
257,0.40014094562059144
258,0.0500304989058368
259,0.29019198729883394
260,0.3635416508576881
261,0.3226918125280846
262,0.1810881365931494
263,0.0528414586038031
264,0.2567201598562663
265,0.5508683399482461
266,0.10113566065333042
267,0.2989302697711467
268,0.09246620251912686
269,0.33221291486679483
270,0.10734701369137095
271,0.11742544003127232
272,0.07973713811451098
273,0.12593929298882786
274,0.3115343089087996
275,0.11491061577364728
276,0.29545273132563776
277,0.22676810480120752
278,0.27574808331275336
279,0.11710258719942555
280,0.15746017138923993
281,0.5801237437075856
282,0.06966880032175195
283,0.3569823928870172
284,0.2865991024478152
285,0.23891746991133614
286,0.2751381881417726
287,0.40468146290834556
288,0.3154750586158544
289,0.12475996150233828
290,0.21977923020654042
291,0.21427555770273138
292,0.1496133752937978
293,0.22404097722879765
294,0.18376439802744932
295,0.19561550044997159
296,0.24865768116133777
297,0.37250671902861726
298,0.37685384691806323
299,0.40347276788777936
300,0.4485264119298636
301,0.13532360026910176
302,0.22696991690758622
303,0.061479836143183905
304,0.06998313337786137
305,0.04725155863078757
306,0.21834380376023385
307,0.2610160275743825
308,0.27320664345188644
309,0.142825207808126
310,0.15261900577264462
311,0.14751268898496267
312,0.17703061398975461
313,0.27971587992373137
314,0.2141045248968747
315,0.32517288534356453
316,0.22962792305180094
317,0.19016532813664558
318,0.18235289250061706
319,0.09760856079894276
320,0.13857733896475824
321,0.164195907201434
322,0.40175392816000965
323,0.22753354430722192
324,0.18934204745434488
325,0.12351620866638768
326,0.05013672090272864
327,0.1692700192934506
328,0.2920361802531234
329,0.251839508520297
330,0.16086519502039037
331,0.08804356719670373
332,0.08701496361828387
333,0.31586452241062596
334,0.23749041663785844
335,0.2010996650371577
336,0.3200467429340775
337,0.108825248990312
338,0.32395723288981293
339,0.12241953296867976
340,0.06276467188347928
341,0.4271271039220452
342,0.31707128291082176
343,0.25178439908766087
344,0.45266087077603334
345,0.2763601690311609
346,0.15746213541178242
347,0.21346875956571096
348,0.29164567012179293
349,0.28361918473196945
350,0.2862378137920859
351,0.17775369835609778
352,0.4427987301769533
353,0.17339374147020817
354,0.1489092446727401
355,0.20392743094991325
356,0.5427940788198308
357,0.31366557466647754
358,0.17968438142873103
359,0.20872823021887804
360,0.3777608971160327
361,0.3822233959764257
362,0.2848308255933905
363,0.3587036693373722
364,0.45541995824682313
365,0.373669118347263
366,0.22076274314627045
367,0.15985905209355725
368,0.04403974351532817
369,0.3179448271667421
370,0.2127628617283779
371,0.26766946448319595
372,0.3164879177596066
373,0.28806092074791706
374,0.2790254573254118
375,0.6353741460142862
376,0.3262854897838391
377,0.35286111958983296
378,0.2777832660097171
379,0.1806447619465985
380,0.21858758341567583
381,0.622224022520829
382,0.3733444036335522
383,0.22869407170684167
384,0.07666367003822938
385,0.1709958501515473
386,0.3730895950776315
387,0.3814689828468341
388,0.27506162686216545
389,0.14391084269864182
390,0.14161132367041274
391,0.42958381944058144
392,0.280300120235429
393,0.3002960092326141
394,0.13920913793884573
395,0.18318470909964948
396,0.6296327063544618
397,0.15466852989976437
398,0.3359713160967856
399,0.2759089637561666
